2009,29.0%,38.3%,32.6%,45.6%,37.3%,17.1%,,,,,,,,,,,,,,,,,,,,,
2010,24.6%,42.2%,33.1%,37.3%,43.0%,19.8%,2010,40.1%,55.3%,4.4%,55.3%,43.7%,1.0%,,,,,,,,,,,,,,
2011,19.6%,44.3%,36.1%,31.2%,47.1%,21.7%,2011,38.0%,57.2%,4.8%,52.7%,46.1%,1.2%,,,,,,,,,,,,,,
2012,17.7%,44.8%,37.5%,28.2%,49.4%,22.4%,2012,33.9%,60.0%,6.1%,49.9%,48.5%,1.7%,,,,,,,,,,,,,,
2013,18.5%,40.6%,40.9%,27.0%,49.6%,23.4%,2013,31.0%,61.3%,7.7%,47.5%,50.3%,2.2%,,,,,,,,,,,,,,
2014,18.6%,40.3%,41.1%,23.8%,51.9%,24.4%,2014,28.9%,62.4%,8.7%,44.9%,52.7%,2.4%,,,,,,,,,,,,,,
2015,20.3%,37.7%,42.0%,23.8%,51.2%,25.0%,2015,25.6%,65.4%,9.0%,42.2%,55.3%,2.5%,,,,,,,,,,,,,,
2016,21.9%,33.7%,44.4%,24.4%,49.0%,26.6%,2016,22.4%,68.6%,9.0%,38.8%,58.6%,2.6%,,,,,,,,,,,,,,
2017,24.1%,31.4%,44.5%,25.9%,46.8%,27.3%,2017,20.5%,69.0%,10.5%,36.3%,61.0%,2.7%,,,,,,,,,,,,,,
2018,24.1%,28.8%,47.1%,27.2%,42.1%,30.8%,2018,18.6%,69.4%,12.0%,32.1%,65.0%,3.0%,,,,,,,,,,,,,,
2019,25.4%,28.4%,46.2%,29.0%,38.9%,32.1%,2019,16.6%,69.7%,13.7%,29.6%,66.7%,3.7%,,,,,,,,,,,,,,
2020,25.9%,28.0%,46.1%,29.4%,36.1%,34.6%,2020,13.3%,69.0%,17.7%,26.9%,68.4%,4.8%,,,,,,,,,,,,,,
2021,24.6%,28.2%,47.2%,30.4%,34.8%,34.8%,2021,11.6%,68.3%,20.1%,24.9%,69.4%,5.8%,,,,,,,,,,,,,,
2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
