0,1,2,3,4,5,6,7,8,9,10
,,,,,,,,,,The data
,,,,,Asset class,,,,,
,,,,,,Breakdown of other investments,,,,
,,,Other,,Cash and,Insurance,,,,
Year/The Purple Book dataset,Equities,Bonds,investments,Property,deposits,policies,Hedge funds*,Annuities*,Miscellaneous,Scheme
,,,,,,,,,,demographics
2006,52.6%,22.6%,24.8%,2.1%,3.9%,14.9%,n/a,n/a,3.6%,
2007,53.5%,24.0%,22.5%,2.5%,3.7%,13.7%,n/a,n/a,2.6%,
2008,50.2%,26.5%,23.3%,2.9%,4.4%,13.0%,n/a,n/a,2.9%,Scheme
,,,,,,,,,,funding
2009,46.6%,29.2%,24.2%,2.8%,5.6%,12.4%,0.7%,n/a,2.6%,
2010,43.1%,32.6%,24.3%,2.6%,5.7%,12.3%,0.9%,n/a,2.8%,
2011,43.7%,32.6%,23.7%,2.7%,4.9%,11.8%,1.0%,n/a,3.3%,Funding
,,,,,,,,,,sensitivities
2012,43.7%,36.1%,20.2%,3.5%,5.5%,4.4%,3.7%,n/a,3.2%,
2013,40.6%,39.1%,20.3%,3.6%,6.2%,2.0%,5.0%,n/a,3.5%,
2014,39.4%,39.0%,21.6%,3.5%,6.4%,1.8%,6.2%,n/a,3.9%,Insolvency
,,,,,,,,,,risk
2015,38.8%,39.4%,21.8%,3.6%,5.7%,1.7%,"7
.3%",n/a,3.7%,
2016,36.8%,41.1%,22.1%,3.7%,5.4%,1.2%,"7
.9%",2.4%,1.5%,
2017,34.5%,41.4%,24.1%,3.7%,3.6%,0.7%,"7
.9%",6.8%,1.3%,
,,,,,,,,,,Asset
,,,,,,,,,,allocation
2018,32.4%,43.1%,24.5%,3.3%,1.8%,0.6%,8.5%,8.9%,1.4%,
2019,30.4%,47.0%,22.7%,3.4%,-0.8%,0.5%,8.9%,9.4%,1.3%,
2020,27.8%,52.3%,19.9%,3.4%,-3.2%,0.6%,"7
.9%",9.7%,1.7%,
,,,,,,,,,,Risk
,,,,,,,,,,reduction
2021,25.8%,58.0%,16.3%,3.2%,-6.6%,0.6%,6.9%,10.6%,1.7%,
2022,27.1%,58.5%,14.4%,3.0%,-7.5%,0.6%,6.0%,10.7%,1.6%,
