0,1,2,3,4,5,6,7,8,9,10
The Purple Book 2022,,,,,,,,,,
,,,,,,,,,26,Introduction
Asset allocation continued,,,,,,,,,,
,,,,,,,,,,Overview
Figure 7.7 | Weighted averages of equity and bond holdings split by asset size,,Figure 7.8 | Weighted average asset allocation by s179 funding ratio,,,,,,Figure 7.9 | Weighted average asset allocation of schemes by scheme maturity,,
,,,,,,,,,,Executive
Larger schemes tend to hold a higher proportion of overseas and private/unquoted,,,,,,,,,,summary
,,The majority of scheme assets are invested in equities and bonds for all funding,,,,,,,,
"equities within their equity portfolio, and a higher proportion of index-linked bonds in",,,,,,,,"As scheme maturity increases, the proportion of equities falls.",,
,ratio groups.,,,,,,,,,
their bond portfolio.,,,,,,,,,,
,,,,,,,,,,The data
"Bonds
Equity",,,,,,,,,,
100,140,,,,,,,120,,
,120,,,,,,,,,Scheme
,,,,,,,,100,,
,,,,,,,,,,demographics
80,,,,,,,,,,
,100,,,,,,,,,
,,,,,,,,80,,
60,,,,,,,,,,Scheme
,80,,,,,,,,,
,,,,,,,,,,funding
Percentage,,,,,,,,60,,
,60,,,,,,,Percentage,,
40,,,,,,,,,,
,Percentage,,,,,,,40,,Funding
,40,,,,,,,,,sensitivities
20,,,,,,,,,,
,,,,,,,,20,,
,20,,,,,,,,,
,,,,,,,,,,Insolvency
,,,,,,,,,,risk
0,0,,,,,,,0,,
"Under 
£5m– 
£10m– 
£100m– 
Over 
Under 
£5m– 
£10m– 
£100m– 
Over",,,,,,,,,,
"£5m
£10m
£100m
£1bn
£1bn
£5m
£10m
£100m
£1bn
£1bn",,,,,,,,,,
,-20,,,,,,,,,
,,,,,,,,-20,,
,,,,,,,,,,Asset
Asset size,,,,,,,,,,
,,,,,,,,"0%–25%
25%–50%
50%–75%",75%–100%,allocation
"Government bonds
Corporate bonds
Index-linked securities",-40,,,,,,,,,
,,,,,,,,Proportion of liabilities relating to current pensioners,,
,,Under 50%,,50%–75%,,75%–100%,100% and over,,,
"Overseas equities
Unquoted equities
UK equities",,,,,,,,,,
,,,,,,,,"Equities
Bonds
Property
Cash and deposits",,
,,,,,Funding ratio,,,,,Risk
Source: PPF,,,,,,,,,,
,,,,,,,,"Insurance policies
Hedge funds
Annuities
Misc",,reduction
,,Cash and deposits,Equities,Bonds,Property,,,,,
,,,,,,,,Source: PPF,,
,,Insurance policies,Hedge funds,Annuities,Misc,,,,,
,,,,,,,,Note: the heavy concentration in ‘Annuities’ for mature schemes is explained by one large scheme with a heavy,,
,Source: PPF,,,,,,,concentration in annuity policies.,,PPF levy
,,,,,,,,,,2021/22
,,,,,,,,,,Claims and
,,,,,,,,,,schemes in
,,,,,,,,,,assessment
,,,,,,,,,,PPF
,,,,,,,,,,compensation
,,,,,,,,,,2021/22
,,,,,,,,,,PPF risk
,,,,,,,,,,developments
,,,,,,,,,,Appendix
,,,,,,,,,,Glossary
,,,,,,,,,,Charts and tables
