2008,48.2%,51.8%,n/a,60.4%,39.6%,n/a
2009,44.2%,53.8%,1.9%,57.6%,41.7%,0.7%
2010,40.1%,55.3%,4.4%,55.3%,43.7%,1.0%
2011,38.0%,57.2%,4.8%,52.7%,46.1%,1.2%
2012,33.9%,60.0%,6.1%,49.9%,48.5%,1.7%
2013,31.0%,61.3%,7.7%,47.5%,50.3%,2.2%
2014,28.9%,62.4%,8.7%,44.9%,52.7%,2.4%
2015,25.6%,65.4%,9.0%,42.2%,55.3%,2.5%
2016,22.4%,68.6%,9.0%,38.8%,58.6%,2.6%
2017,20.5%,69.0%,10.5%,36.3%,61.0%,2.7%
2018,18.6%,69.4%,12.0%,32.1%,65.0%,3.0%
2019,16.6%,69.7%,13.7%,29.6%,66.7%,3.7%
2020,13.3%,69.0%,17.7%,26.9%,68.4%,4.8%
2021,11.6%,68.3%,20.1%,24.9%,69.4%,5.8%
2022,9.9%,68.6%,21.5%,22.5%,70.9%,6.6%
