0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,Asset class,,,,,
,,,,,,,Breakdown of other investments,,,,
,,,Other,Cash and,,,Diversified,,Insurance,,
Year/The Purple Book dataset,Equities,Bonds,investments,deposits,Property,Annuities,growth funds,Absolute returns,policies,Hedge funds,Miscellaneous
2006,52.6%,22.6%,24.8%,3.9%,2.1%,n/a,n/a,n/a,14.9%,n/a,3.6%
2011,43.7%,32.6%,23.7%,4.9%,2.7%,n/a,n/a,n/a,11.8%,1.0%,3.3%
2016,36.8%,41.1%,22.1%,5.4%,3.7%,2.4%,n/a,n/a,1.2%,"7
.9%",1.5%
2017,34.5%,41.4%,24.1%,3.6%,3.7%,6.8%,n/a,n/a,0.7%,"7
.9%",1.3%
2018,32.4%,43.1%,24.5%,1.8%,3.3%,8.9%,n/a,n/a,0.6%,8.5%,1.4%
2019,30.4%,47.0%,22.7%,-0.8%,3.4%,9.4%,n/a,n/a,0.5%,8.9%,1.3%
2020,27. 8%,52.3%,19.9%,-3.2%,3.4%,9.7%,n/a,n/a,0.6%,"7
.9%",1.7%
2021,25.8%,58.0%,16.3%,-6.6%,3.2%,10.6%,n/a,n/a,0.6%,6.9%,1.7%
2022,27. 1%,58.5%,14.4%,-7. 5%,3.0%,10.7%,n/a,n/a,0.6%,6.0%,1.6%
2023,23.1%,62.9%,14.0%,-10.8%,2.8%,11.5%,6.7%,1.7%,n/a,n/a,1.9%
