0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
The proportion of corporate bonds within scheme bond portfolios has increased in the last year by over 6 percentage points.,,,,,,,,Government fixed interest and index-linked bonds are mostly long-dated. Corporate bond,,,,,,
,,,,,,,,"proportions are balanced between UK and overseas investment grade, and between short/medium",,,,,,
,,,,,,,and long dated.,,,,,,,
,,Weighted average,,,Simple average,,,,,,,,,
,Government,Corporate,,Government,Corporate,,,,,,,,,
Year/The Purple Book dataset,fixed interest,fixed interest,Index-linked,fixed interest,fixed interest,Index-linked,,,,,Weighted average,,,
,,,,,,,,,,,,Short and,,
2008,33.2%,32.6%,33.9%,47. 2%,33.0%,19.8%,,,,,,,,
,,,,,,,Bond category,All,Tier 1,Short,Medium,medium,Long,Unassigned*
2011,19.6%,44.3%,36.1%,31.2%,47. 1%,21.7%,,,,,,,,
,,,,,,,Government fixed interest,19.5%,0.4%,-0.1%,1.6%,n/a,16.8%,0.8%
2016,21.9%,33.7%,44.4%,24.4%,49.0%,26.6%,,,,,,,,
,,,,,,,Index-linked,44.1%,0.4%,2.5%,9.8%,n/a,27. 2%,4.2%
2017,24.1%,31.4%,44.5%,25.9%,46.8%,27. 3%,,,,,,,,
,,,,,,,"Corporate fixed interest,",36.5%,n/a,n/a,n/a,n/a,n/a,n/a
2018,24.1%,28.8%,47. 1%,27. 2%,42.1%,30.8%,,,,,,,,
,,,,,,,"of 
which:",,,,,,,
2019,25.4%,28.4%,46.2%,29.0%,38.9%,32.1%,,,,,,,,
,,,,,,,Investment grade,0.3%,0.3%,n/a,n/a,n/a,n/a,n/a
2020,25.9%,28.0%,46.1%,29.4%,36.1%,34.6%,,,,,,,,
,,,,,,,UK investment grade,12.8%,n/a,n/a,n/a,5.8%,"7
.0%",n/a
2021,24.6%,28.2%,47. 2%,30.4%,34.8%,34.8%,,,,,,,,
,,,,,,,Overseas,11.7%,n/a,n/a,n/a,6.5%,5.2%,n/a
2022,22.0%,30.2%,47. 8%,30.2%,35.7%,34.1%,,,,,,,,
,,,,,,,"investment 
grade",,,,,,,
2023,19.5%,36.5%,44.1%,25.6%,36.9%,3 7. 5%,,,,,,,,
,,,,,,,Sub-investment grade,6.6%,n/a,n/a,n/a,n/a,n/a,n/a
,,,,,,,Private debt,5.1%,n/a,n/a,n/a,n/a,n/a,n/a
Note: the rows may not sum to 100 per cent due to rounding.,,,,,,,,,,,,,,
,,,,,,,Total,100%,1.1%,2.4%,11.4%,12.3%,56.2%,5.0%
,Weighted average,,,,,,,,,,,,,
