0,1,2,3,4,5,6,7,8,9,10
100,,,,,,,,,,Note: the figures may not sum to 100 per cent or to the ‘All’ column due to rounding.
,,,,,,,,,,*
,34%,,,,,,,,,Blank cells are n/a for that category of bond.
,36%,,,,,,,,,
80,,,,,,,,,,
,,44%,44%,,,46%,,,44%,
,,,,47%,46%,,47%,48%,,
,,,,,,,,,,50
60,,,,,,,,,,
,,,,,,,,,,4%
,,,,,,,,,,40
,33%,,,,,,,,,
,44%,,,,,,,,,
40,,34%,31%,,28%,28%,28%,,,
,,,,29%,,,,,,30
,,,,,,,,30%,36%,
,,,,,,,,,,27%
,,,,,,,,,,"Percentage 
20"
20,,,,,,,,,,
,33%,,,,,,,,,
,,,24%,24%,25%,26%,25%,,,
,20%,22%,,,,,,22%,,
,,,,,,,,,19%,
,,,,,,,,,,"17% 
10"
0,,,,,,,,,,10%
