0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
"Within equities, the proportion invested in UK equities continued to fall, while the proportion invested in private equity has risen to nearly 30 per cent.",,,,,,,,,,,,"Schemes with assets less than £10 million have a lower proportion of their assets invested in bonds,",,,,,,,
,,,,,,,,,,,,but a higher proportion invested in annuities and equities.,,,,,,,
,,,Weighted average,,,,,Simple average,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Diversified,,
,,Overseas quoted,Developed,Emerging,,,Overseas quoted,Developed,Emerging,,,,,,,,,,
,,,,,,,,,,,,,,Cash and,,,growth,Absolute,
,,(tier 1 only,markets,markets,Unquoted/,,(tier 1 only,markets,markets,Unquoted/,,,,,,,,,
,,,,,,,,,,,Asset size,Equities,Bonds,deposits,Property,Annuities,funds,returns,Miscellaneous
Year/The Purple Book dataset,UK quoted,in 2023),(tiers 2 and 3)*,(tiers 2 and 3)*,Private,UK quoted,in 2023),(tiers 2 and 3),(tiers 2 and 3),Private,,,,,,,,,
,,,,,,,,,,,Under £5m,27. 2%,41.7%,1.0%,3.2%,16.2%,"7
. 1%",0.1%,3.5%
2008,48.2%,51.8%,n/a,n/a,n/a,60.4%,39.6%,n/a,n/a,n/a,,,,,,,,,
,,,,,,,,,,,£5m–£10m,27.6%,49.2%,-6.3%,2.6%,14.7%,9.9%,0.1%,2.3%
2011,38.0%,57. 2%,n/a,n/a,4.8%,52.7%,46.1%,n/a,n/a,1.2%,,,,,,,,,
,,,,,,,,,,,£10m–£100m,22.0%,73.6%,-18.4%,2.5%,9.3%,"7
.0%",2.4%,1.6%
2016,22.4%,68.6%,n/a,n/a,9.0%,38.8%,58.6%,n/a,n/a,2.6%,,,,,,,,,
,,,,,,,,,,,£100m–£1bn,18.8%,74.1%,-14.4%,3.6%,10.8%,2.2%,3.7%,1.2%
2017,20.5%,69.0%,n/a,n/a,10.5%,36.3%,61.0%,n/a,n/a,2.7%,,,,,,,,,
,,,,,,,,,,,Over £1bn,17.4%,67. 2%,-1.3%,6.0%,6.2%,0.8%,3.0%,0.8%
2018,18.6%,69.4%,n/a,n/a,12.0%,32.1%,65.0%,n/a,n/a,3.0%,,,,,,,,,
2019,16.6%,69.7%,n/a,n/a,13.7%,29.6%,66.7%,n/a,n/a,3.7%,,,,,,,,,
,,,,,,,,,,,120,,,,,,,,
2020,13.3%,69.0%,n/a,n/a,17.7%,26.9%,68.4%,n/a,n/a,4.8%,,,,,,,,,
,,,,,,,,,,,,,,,,7%,,,
2021,11.6%,68.3%,n/a,n/a,20.1%,24.9%,69.4%,n/a,n/a,5.8%,,,,,,9%,11%,,
,,,,,,,,,,,100,,,10%,,,,,
,,,,,,,,,,,,7%,,,,,,,6%
2022,9.9%,68.6%,n/a,n/a,21.5%,22.5%,70.9%,n/a,n/a,6.6%,,,,,,,,,
,,,,,,,,,,,,,,15%,,,,,6%
,,,,,,,,,,,80,16%,,,,,,,
2023,"7
.6%",1.4%,53.6%,"7
. 8%",29.5%,20.3%,28.7%,3 7. 1%,4.7%,9.3%,,,,,,,,,
Note: the rows may not sum to 100 per cent due to rounding.,,,,,,,,,,,60,,,,,74%,,,
,,,,,,,,,,,,,,,,,74%,,
,,,,,,,,,,,Percentage,,,49%,,,,,67%
*  New for 2023.,,,,,,,,,,,,42%,,,,,,,
,,,,,,,,,,,40,,,,,,,,
,,,,Weighted average,,,,,,,,,,,,,,,
