2006,61.1%,28.3%,10.6%,2.3%,4.3%,n/a,n/a,n/a,0.9%,n/a,3.1%,
2011,41.1%,40.1%,18.8%,4.1%,4.4%,n/a,n/a,n/a,1.6%,2.4%,6.3%,
2016,30.3%,51.3%,18.4%,3.0%,4.8%,2.1%,n/a,n/a,0.1%,6.6%,1.7%,
2017,29.0%,55.7%,15.3%,-0.9%,5.3%,3.3%,n/a,n/a,0.1%,6.7%,0.8%,
2018,27.0%,59.0%,14.0%,-2.5%,4.8%,3.4%,n/a,n/a,0.1%,7.0%,1.2%,
2019,24.0%,62.8%,13.2%,-4.4%,5.0%,4.0%,n/a,n/a,0.3%,7.4%,1.0%,
2020,20.4%,69.2%,10.4%,-7.,2%,4.9%,5.0%,n/a,n/a,0.1%,6.8%,0.8%
2021,19.0%,72.0%,9.1%,-9.5%,4.7%,6.6%,n/a,n/a,0.1%,6.1%,0.9%,
2022,19.5%,71.6%,8.9%,-8.8%,4.6%,6.8%,n/a,n/a,0.1%,5.2%,1.0%,
2023,18.0%,68.9%,13.1%,-5.1%,5.3%,7.4%,1.5%,3.1%,n/a,n/a,0.9%,
