2008,48.2%,51.8%,n/a,n/a,n/a,60.4%,39.6%,n/a,n/a,n/a,,,
2011,38.0%,57.,2%,n/a,n/a,4.8%,52.7%,46.1%,n/a,n/a,1.2%,,
2016,22.4%,68.6%,n/a,n/a,9.0%,38.8%,58.6%,n/a,n/a,2.6%,,,
2017,20.5%,69.0%,n/a,n/a,10.5%,36.3%,61.0%,n/a,n/a,2.7%,,,
2018,18.6%,69.4%,n/a,n/a,12.0%,32.1%,65.0%,n/a,n/a,3.0%,,,
2019,16.6%,69.7%,n/a,n/a,13.7%,29.6%,66.7%,n/a,n/a,3.7%,,,
2020,13.3%,69.0%,n/a,n/a,17.7%,26.9%,68.4%,n/a,n/a,4.8%,,,
2021,11.6%,68.3%,n/a,n/a,20.1%,24.9%,69.4%,n/a,n/a,5.8%,100,,
2022,9.9%,68.6%,n/a,n/a,21.5%,22.5%,70.9%,n/a,n/a,6.6%,,,
2023,7.6%,1.4%,53.6%,7.8,%,29.5%,20.3%,28.7%,37,.1,%,4.7%,9.3%
