0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
,,,,,,,and term.,,,,,,,
,,Weighted average,,,Simple average,,,,,,,,,
,Government,Corporate,,Government,Corporate,,,,,,Weighted average,,,
Year/The Purple Book dataset,fixed-interest,fixed-interest,Index-linked,fixed-interest,fixed-interest,Index-linked,,,,,,,,
,,,,,,,,,,,,Short and,,
,,,,,,,Bond category,All,Tier 1,Short,Medium,medium,Long,Unassigned*
2008,33.2%,32.6%,33.9%,47.2%,33.0%,19.8%,,,,,,,,
2011,19.6%,44.3%,36.1%,31.2%,47.1%,21.7%,Government fixed-interest,19.5%,0.4%,–1.4%,2.5%,–,18.0%,0.0%
2016,21.9%,33.7%,44.4%,24.4%,49.0%,26.6%,Index-linked,45.5%,0.5%,4.5%,13.8%,–,26.7%,0.0%
2017,24.1%,31.4%,44.5%,25.9%,46.8%,27.3%,"Corporate fixed-interest, of which:",35.0%,–,,,– –,– –,
2018,24.1%,28.8%,47.1%,27.2%,42.1%,30.8%,Investment grade,0.4%,0.4%,,,,,
2019,25.4%,28.4%,46.2%,29.0%,38.9%,32.1%,UK investment grade,11.5%,,– – – – –,– – – – –,5.5%,6.0%,– – – – –
2020,25.9%,28.0%,46.1%,29.4%,36.1%,34.6%,Overseas investment grade,10.5%,– – –,,,6.4%,4.1%,
2021,24.6%,28.2%,47.2%,30.4%,34.8%,34.8%,Sub-investment grade,5.3%,,,,–,–,
2022,22.0%,30.2%,47.8%,30.2%,35.7%,34.1%,Private debt,"7
.3%",–,–,–,–,–,–
2023 restated*,19.1%,37.6%,43.3%,25.6%,36.9%,37.5%,Total,100%,1.3%,3.1%,16.3%,11.9%,54.8%,0.0%
2024,19.5%,35.0%,45.5%,27.6%,35.3%,37.1%,,,,,,,,
,,,,,,,*,‘Unassigned’ is generally where a scheme is in tiers 2 or 3 but did not provide the granular breakdown.,,,,,,
