0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
"equities, in favour of private or unquoted equity, whose proportion has risen to over 40 per cent.",,,,,and equities.,,,,,,,,,,,,
Weighted average,,Simple average,,,,,,,,Cash and,,,,Diversified,,,
,,,,,Asset size,,Equities,,Bonds,deposits,Property,,Annuities,growth funds,Absolute returns,,Miscellaneous
"Overseas quoted 
Developed 
Emerging",Overseas quoted,Developed,Emerging,,,,,,,,,,,,,,
"Year/The Purple 
(tier 1 only 
markets  
markets  
Unquoted/",(tier 1 only,markets,markets,Unquoted/,Under £5m,,21.6%,,52.5%,-3.4%,2.9%,,16.8%,6.6%,0.1%,,2.9%
"Book dataset
UK quoted
 from 2023)
(tiers 2 and 3)
(tiers 2 and 3)
Private
UK quoted",from 2023),(tiers 2 and 3),(tiers 2 and 3),Private,,,,,,,,,,,,,
,,,,,£5m–£10m,,21.3%,,58.8%,-8.0%,2.4%,,15.2%,8.3%,0.3%,,1.7%
"2008
48.2%
51.8%
–
–
–
60.4%",39.6%,–,–,–,,,,,,,,,,,,,
,,,,,£10m–£50m,,16.6%,,71.5%,-12.3%,2.2%,,13.4%,5.5%,1.5%,,1.6%
"2011
38.0%
57.2%
–
–
4.8%
52.7%",46.1%,–,–,1.2%,,,,,,,,,,,,,
,,,,,£50m–£100m,,15.7%,,77.1%,-14.0%,2.8%,,11.5%,2.7%,2.4%,,1.8%
"2016
22.4%
68.6%
–
–
9.0%
38.8%",58.6%,–,–,2.6%,,,,,,,,,,,,,
,,,,,£100m–£1bn,,14.3%,,74.7%,-11.9%,3.9%,,13.8%,1.3%,2.8%,,1.1%
"2017
20.5%
69.0%
–
–
10.5%
36.3%",61.0%,–,–,2.7%,,,,,,,,,,,,,
,,,,,Over £1bn,,15.7%,,68.0%,-2.5%,6.9%,,8.0%,0.5%,2.6%,,0.8%
"2018
18.6%
69.4%
–
–
12.0%
32.1%",65.0%,–,–,3.0%,,,,,,,,,,,,,
"2019
16.6%
69.7%
–
–
13.7%
29.6%",66.7%,–,–,3.7%,120,,,,,,,,,,,,
"2020
13.3%
69.0%
–
–
17.7%
26.9%",68.4%,–,–,4.8%,,,,,,6%,,,,,,,
,,,,,,,,8%,,,,11%,,,,,
,,,,,100,,,,,,,,,14%,,,
"2021
11.6%
68.3%
–
–
20.1%
24.9%",69.4%,–,–,5.8%,,7%,,,,13%,,,,,,,
,,,,,,,,,,,,,,,,8%,
,,,,,,,,15%,,,,,,,,,
,,,,,,,,,,,,,,,,7%,
"2022
9.9%
68.6%
–
–
21.5%
22.5%",70.9%,–,–,6.6%,,17%,,,,,,,,,,,
,,,,,80,,,,,,,,,,,,
"2023 restated*
7
.6%
1.4%
53.0%
8.0%
30.0%
20.3%",28.7%,37.1%,4.7%,9.3%,,,,,,,,,,,,,
"2024
6.6%
1.4%
41.7%
6.7%
43.6%
17.7%",29.8%,33.9%,4.4%,14.2%,60,,,,,,,,,,,,
,,,,,,,,,,,,77%,,,,,
,,,,,,,,,,71%,,,,75%,,,
,,,,,Percentage,,,59%,,,,,,,,68%,
,,,,,,52%,,,,,,,,,,,
*  Weighted average only.,,,,,,,,,,,,,,,,,
,,,,,40,,,,,,,,,,,,
Note: the rows may not sum to 100 per cent because of rounding.,,,,,,,,,,,,,,,,,
,,,,,20,,,,,,,,,,,,
Weighted average,,,,,,,,,,,,,,,,,
,,,,,,22%,,21%,,,,,,,,,
,,,,,,,,,,17%,,16%,,14%,,16%,
100,,,,,,,,,,,,,,,,,
5%,,,,,,,,,,,,,,,,,
9%,,,,,0,,,,,,,,,,,,
"10%
12%",,,,,,,,,,,,,,,,,
14%,,,,,,,,-8%,,-12%,,,,-12%,,,
18%,,,,,,,,,,,,-14%,,,,,
,20%,21%,,,,,,,,,,,,,,,
,,,30%,,,,,,,,,,,,,,
,,,,,-20,,,,,,,,,,,,
80,,,,,,,,,,,,,,,,,
,,,,44%,,,,,,,,,,£100m–£1bn,,,
,,,,,,Under £5m,,£5–£10m,,£10m–£50m,,£50m–£100m,,,,Over £1bn,
52%,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Asset size,,,,,,
57%,,,8%,,,,,,,,,,,,,,
60,,,,,Cash and deposits,Equities,Bonds,Property,Annuities,,Diversified growth funds,Absolute returns,,Miscellaneous,,,
"69%
69%",,,,,,,,,,,,,,,,,
69%,,,,7%,,,,,,,,,,,,,
70%,,,,,,,,,,,,,,,,,
Percentage,,,,,Source: PPF,,,,,,,,,,,,
69%,,,,,,,,,,,,,,,,,
,68%,,,,,,,,,,,,,,,,
,,69%,,,,,,,,,,,,,,,
40,,,,,,,,,,,,,,,,,
,,,53%,,,,,,,,,,,,,,
,,,,42%,,,,,,,,,,,,,
48%,,,,,,,,,,,,,,,,,
"20
38%",,,,,,,,,,,,,,,,,
22%,,,,,,,,,,,,,,,,,
