0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
,,,,,,,,,,territory and term.,,,,,,,
,,Weighted average,,,,Simple average,,,,,,,,,,,
,,Corporate –,,,,Corporate,,,,,,,,Weighted average,,,
,Government,public markets,Corporate –,,Government,– public markets,Corporate –,,,,,,,,,,
,,,,,,,,,,,,,,,Short and,,
Year/The Purple Book dataset,fixed-interest,only from 2023,private debt,Index-linked,fixed-interest,only from 2023,private debt,Index-linked,,,,,,,,,
,,,,,,,,,,Bond category,All,Tier 1,Short,Medium,medium,Long,Unassigned*
2008,33.2%,32.6%,–,33.9%,47. 2%,33.0%,–,19.8%,,,,,,,,,
,,,,,,,,,,Government fixed-interest,20.8%,0.5%,0.2%,3.3%,–,16.8%,0.0%
2011,19.6%,44.3%,–,36.1%,31.2%,47. 1%,–,21.7%,,,,,,,,,
,,,,,,,,,,Index-linked,44.4%,0.6%,5.5%,14.2%,–,24.1%,0.0%
2016,21.9%,33.7%,–,44.4%,24.4%,49.0%,–,26.6%,,,,,,,,,
,,,,,,,,,,"Corporate fixed-interest, of which:",34.8%,–,–,–,–,–,–
2017,24.1%,31.4%,–,44.5%,25.9%,46.8%,–,27. 3%,,,,,,,,,
,,,,,,,,,,Investment grade,0.4%,0.4%,–,–,–,–,–
2018,24.1%,28.8%,–,47. 1%,27. 2%,42.1%,–,30.8%,,,,,,,,,
,,,,,,,,,,UK investment grade,12.2%,–,–,–,6.0%,6.2%,–
2019,25.4%,28.4%,–,46.2%,29.0%,38.9%,–,32.1%,,,,,,,,,
,,,,,,,,,,Overseas investment grade,10.9%,–,–,–,6.8%,4.1%,–
2020,25.9%,28.0%,–,46.1%,29.4%,36.1%,–,34.6%,,,,,,,,,
,,,,,,,,,,Sub-investment grade,4.3%,–,–,–,–,–,–
2021,24.6%,28.2%,–,47. 2%,30.4%,34.8%,–,34.8%,,,,,,,,,
,,,,,,,,,,Private debt,"7
.0%",–,–,–,–,–,–
2022,22.0%,30.2%,–,47. 8%,30.2%,35.7%,–,34.1%,,,,,,,,,
,,,,,,,,,Total,,100%,1.5%,5.7%,1 7. 5%,12.8%,51.2%,0.0%
2023 restated*,19.1%,32.2%,5.4%,43.3%,25.6%,35.4%,1.5%,3 7. 5%,,,,,,,,,
,,,,,,,,,*,,‘Unassigned’ is generally where a scheme is in tiers 2 or 3 but did not provide the granular breakdown.,,,,,,
2024,19.5%,27.7%,"7
. 3%",45.5%,27.6%,33.3%,2.0%,3 7. 1%,,,,,,,,,
2025,20.8%,27. 8%,"7
.0%",44.4%,28.2%,31.9%,2.0%,3 7.9%,,,,,,,,,
,,,,,,,,,,50,,,,,,,
