0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
"Within equities, the proportion invested in UK equities continued to fall, with offsetting increases in the proportions of overseas developed markets",,,,,,,,,,,,"Schemes with assets less than £5 million have a lower proportion of their assets invested in bonds, with a higher proportion invested",,,,,,,,
and unquoted/private equities.,,,,,,,,,,,in equities.,,,,,,,,,
,,,Weighted average,,,,,Simple average,,,,"Total assets,",,,Cash and,,,Diversified,Absolute,
,,,,,,,,,,,Asset size,£bn,Equities,Bonds,deposits,Property,Annuities,growth funds,returns,Miscellaneous
,,Overseas quoted,Developed,Emerging,,,Overseas quoted,Developed,Emerging,,,,,,,,,,,
Year/The Purple,,(tier 1 only,markets,markets,Unquoted/,,(tier 1 only,markets,markets,Unquoted/,Under £5m,2.6,18.6%,56.8%,-3.3%,2.6%,17.6%,5.0%,0.1%,2.6%
Book dataset,UK quoted,from 2023),(tiers 2 and 3),(tiers 2 and 3),Private,UK quoted,from 2023),(tiers 2 and 3),(tiers 2 and 3),Private,,,,,,,,,,
,,,,,,,,,,,£5m–£10m,5.0,16.6%,67.7%,-9.3%,1.8%,16.5%,5.2%,0.3%,1.4%
2008,48.2%,51.8%,–,–,n/a,60.4%,39.6%,–,–,n/a,,,,,,,,,,
,,,,,,,,,,,£10m–£50m,36.8,13.4%,76.7%,-14.7%,1.7%,16.4%,4.1%,1.3%,1.1%
2011,38.0%,57. 2%,–,–,4.8%,52.7%,46.1%,–,–,1.2%,,,,,,,,,,
,,,,,,,,,,,£50m–£100m,35.2,13.2%,81.3%,-19.4%,2.2%,16.6%,2.6%,2.0%,1.5%
2016,22.4%,68.6%,–,–,9.0%,38.8%,58.6%,–,–,2.6%,,,,,,,,,,
,,,,,,,,,,,£100m–£1bn,261.5,12.9%,75.9%,-15.1%,3.0%,18.2%,1.0%,2.4%,1.7%
2017,20.5%,69.0%,–,–,10.5%,36.3%,61.0%,–,–,2.7%,,,,,,,,,,
,,,,,,,,,,,Over £1bn,727.0,16.1%,67.9%,-4.4%,6.1%,10.6%,0.3%,2.1%,1.3%
2018,18.6%,69.4%,–,–,12.0%,32.1%,65.0%,–,–,3.0%,,,,,,,,,,
2019,16.6%,69.7%,–,–,13.7%,29.6%,66.7%,–,–,3.7%,120,,,,,,,,,
2020,13.3%,69.0%,–,–,17.7%,26.9%,68.4%,–,–,4.8%,,,,,,,,,,
,,,,,,,,,,,,,,,,,17%,,,
,,,,,,,,,,,100,,,,16%,,,18%,,
2021,11.6%,68.3%,–,–,20.1%,24.9%,69.4%,–,–,5.8%,,,17%,,,,,,,11%
,,,,,,,,,,,18%,,,,,,,,,
2022,9.9%,68.6%,–,–,21.5%,22.5%,70.9%,–,–,6.6%,,,,,,,,,,
,,,,,,,,,,,80,,,,,,,,,
2023 restated*,"7
.6%",1.4%,53.0%,8.0%,30.0%,20.3%,28.7%,3 7. 1%,4.7%,9.3%,,,,,,,,,,
2024,6.6%,1.4%,41.7%,6.7%,43.6%,17.7%,29.8%,33.9%,4.4%,14.2%,60,,,,,,,,,
,,,,,,,,,,,,,,,,,81%,,,
,,,,,,,,,,,Percentage,,,,77%,,,76%,,
,,,,,,,,,,,,,68%,,,,,,,68%
2025,4.9%,1.2%,42.8%,6.6%,44.5%,15.2%,30.9%,35.4%,4.1%,14.4%,57%,,,,,,,,,
,,,,,,,,,,,40,,,,,,,,,
